locationid,zone,borough,speed_zone,day_type,time_of_day,mean_trip_mph,median_trip_mph,num_trips,mean_trip_distance,mean_trip_minutes
3,Allerton/Pelham Gardens,Bronx,4,weekday,0,19.746734115539375,18.006310583018276,2945,2.0445529690096287,7.261675155631013
3,Allerton/Pelham Gardens,Bronx,4,weekday,6,16.724122481188314,15.000745959386654,15665,1.9754741794086997,8.772755612299182
3,Allerton/Pelham Gardens,Bronx,4,weekday,12,15.79387390889766,14.023016035762621,18440,2.0426227107577746,9.31411334056399
3,Allerton/Pelham Gardens,Bronx,4,weekday,20,17.726709477618268,16.115502525027665,6647,2.0426591536167626,8.013554987212277
3,Allerton/Pelham Gardens,Bronx,4,weekend_or_holiday,0,18.283715040217604,16.72831915349968,2236,2.0865423330270694,7.864542337507454
3,Allerton/Pelham Gardens,Bronx,4,weekend_or_holiday,6,17.683518098389865,16.134584787958563,4557,2.0573570728983736,8.02576987784361
3,Allerton/Pelham Gardens,Bronx,4,weekend_or_holiday,12,15.723002131842929,14.238857798907238,8254,2.0791409510487140,9.209647847508279
3,Allerton/Pelham Gardens,Bronx,4,weekend_or_holiday,20,16.704748529750937,15.135891839681406,3442,2.0788640773221048,8.617262250629478
4,Alphabet City,Manhattan,1,weekday,0,11.090137210379838,10.488830080323634,4384,1.66618667881965813166,9.500764142335766
4,Alphabet City,Manhattan,1,weekday,6,8.468722482883292,7.812680262930159,22510,1.81272654127558875978,13.900044424700132
4,Alphabet City,Manhattan,1,weekday,12,7.820947850208527,7.208686571570723,22173,1.60282216142627032080,13.44925961003623
4,Alphabet City,Manhattan,1,weekday,20,8.60388960423494,7.9034646254976355,12567,1.58552653374045737052,11.922202328850693
4,Alphabet City,Manhattan,1,weekend_or_holiday,0,9.562020768993461,8.826497612904884,8499,1.63237033552721638440,10.889767423618464
4,Alphabet City,Manhattan,1,weekend_or_holiday,6,10.068332543027095,9.258587786259541,7661,1.81075490903348031637,11.494132619762434
4,Alphabet City,Manhattan,1,weekend_or_holiday,12,8.15639354341559,7.425067277669554,15401,1.66697014430472038185,13.273724649914508
4,Alphabet City,Manhattan,1,weekend_or_holiday,20,8.293164378233271,7.469747548054219,7925,1.59091588373957449343,12.412054679284962
7,Astoria,Queens,2,weekday,0,12.617369402128247,11.812130051383308,17010,1.51180654858974206987,7.884562022339801
7,Astoria,Queens,2,weekday,6,10.200224195479073,9.35208520217519,44884,1.38911809136876361032,9.299401791284199
7,Astoria,Queens,2,weekday,12,9.404306811103478,8.581971379410678,67979,1.39595382480430515453,10.024071649578055
7,Astoria,Queens,2,weekday,20,11.00302063343238,10.182602214650766,40217,1.46110715038013002519,8.71701063397734
7,Astoria,Queens,2,weekend_or_holiday,0,11.882626388969832,11.124044221326638,24503,1.52081143643445517044,8.428204709627392
7,Astoria,Queens,2,weekend_or_holiday,6,10.934595905529255,10.13665610839794,18743,1.48673747001229152329,8.938353874335307
7,Astoria,Queens,2,weekend_or_holiday,12,9.71575224155028,8.937051835214751,46652,1.46052928767274683032,9.954933693446513
7,Astoria,Queens,2,weekend_or_holiday,20,10.66262755363361,9.904011541975692,23619,1.48253268383074781122,9.105249304938116
8,Astoria Park,Queens,2,weekday,0,8.970611831044822,7.774916865809404,8,1.3577777777777778,10.21875
8,Astoria Park,Queens,2,weekday,6,8.480731646568067,7.5548686244204015,37,1.4373116162520136,11.063963963963964
8,Astoria Park,Queens,2,weekday,12,7.751359834592609,6.943307903237848,96,1.3792353446161393,11.81232638888889
8,Astoria Park,Queens,2,weekday,20,9.326821733899157,8.736434554271366,70,1.3872052980132451,10.052380952380952
8,Astoria Park,Queens,2,weekend_or_holiday,0,10.21512449385893,10.05778349817098,18,1.3904750224838525,9.322222222222223
8,Astoria Park,Queens,2,weekend_or_holiday,6,8.551360328076901,8.683402751483024,28,1.3998170923998739,10.554761904761905
8,Astoria Park,Queens,2,weekend_or_holiday,12,7.753842602313737,7.479728938655278,152,1.3810100305952519,11.663157894736843
8,Astoria Park,Queens,2,weekend_or_holiday,20,7.712909661422981,7.746434231378764,55,1.3791796106762994,11.876666666666667
9,Auburndale,Queens,4,weekday,0,26.51824838893367,24.019691499835904,791,2.3284606682984089,6.403603034134008
9,Auburndale,Queens,4,weekday,6,22.01707450976802,19.608878827894106,3775,2.3061268603753695,7.6228918322295804
9,Auburndale,Queens,4,weekday,12,21.79058666388943,19.801948051948052,5513,2.3765127219254077,7.812642844186469
9,Auburndale,Queens,4,weekday,20,24.552672774371942,22.646666002192767,1954,2.4041804366131101,6.899198225861481
9,Auburndale,Queens,4,weekend_or_holiday,0,25.563282018088444,23.33591235878124,785,2.3598384179016872,6.660233545647558
9,Auburndale,Queens,4,weekend_or_holiday,6,23.617508618832826,21.46275659824047,1111,2.3744238200019077,7.067656765676568
9,Auburndale,Queens,4,weekend_or_holiday,12,23.319797727933896,21.214465780710217,2013,2.3677083669579960,7.168562675939725
9,Auburndale,Queens,4,weekend_or_holiday,20,24.48301874854752,22.011714898799514,875,2.4110813154010153,7.186361904761905
10,Baisley Park,Queens,3,weekday,0,19.465154883401716,18.298162708680927,4173,2.2614056027941973,8.040546369518331
10,Baisley Park,Queens,3,weekday,6,15.143542058949654,13.988078568776986,21022,2.3413825950826032,10.722291726128184
10,Baisley Park,Queens,3,weekday,12,15.715593669376025,14.020841959972394,18161,2.1838475465293642,10.11347576308206
10,Baisley Park,Queens,3,weekday,20,17.744517057134914,16.143859504070114,6137,2.1366543984714847,8.639101624029113
10,Baisley Park,Queens,3,weekend_or_holiday,0,18.432682473846356,16.850871069700556,3063,2.1713583856932017,8.308297964958102
10,Baisley Park,Queens,3,weekend_or_holiday,6,17.834562382856177,16.562119565217394,5675,2.2716148087018302,8.730205580029368
10,Baisley Park,Queens,3,weekend_or_holiday,12,16.4078513420865,14.701983695094155,9114,2.2012113044591498,9.656766147319143
10,Baisley Park,Queens,3,weekend_or_holiday,20,17.14346476638186,15.57118881220276,4020,2.1611484679007770,9.052309286898838
11,Bath Beach,Brooklyn,3,weekday,0,18.541313113002243,16.98137925321619,1238,2.0045402039203738,7.597455573505655
11,Bath Beach,Brooklyn,3,weekday,6,15.824706226740863,14.427103210540299,7808,2.0942672574611047,9.454360911885248
11,Bath Beach,Brooklyn,3,weekday,12,14.496690572052431,13.267897931214515,9169,2.0764574634484597,10.043717962700404
11,Bath Beach,Brooklyn,3,weekday,20,16.504267029724016,15.097952818278584,3529,2.0459509085816039,8.445947860583734
11,Bath Beach,Brooklyn,3,weekend_or_holiday,0,17.458862495885107,15.86501964792331,1331,2.0400911150700087,7.973591284748309
11,Bath Beach,Brooklyn,3,weekend_or_holiday,6,16.7010112830358,15.585938028169016,2255,2.1618278924874815,8.83149297856615
11,Bath Beach,Brooklyn,3,weekend_or_holiday,12,15.262205985198918,14.113554064198787,4495,2.1341574659319989,9.53111234705228
11,Bath Beach,Brooklyn,3,weekend_or_holiday,20,16.292021504025715,14.94684792297209,2120,2.0850825367192417,8.635471698113207
12,Battery Park,Manhattan,1,weekday,0,13.482359089810176,13.205302248995455,28,1.99778730905507811436,9.278571428571428
12,Battery Park,Manhattan,1,weekday,6,6.884132471461537,6.584955669862365,172,1.44164495913828796797,13.706201550387597
12,Battery Park,Manhattan,1,weekday,12,7.62676186543049,7.217352427523576,1147,1.64386834108760580624,14.084975297878524
12,Battery Park,Manhattan,1,weekday,20,10.69510617833791,10.641676934434763,174,1.75776347069007557616,10.574521072796934
12,Battery Park,Manhattan,1,weekend_or_holiday,0,9.09336114045561,8.111357945351465,40,1.40076446335673612478,10.402916666666666
12,Battery Park,Manhattan,1,weekend_or_holiday,6,10.1709018205884,9.777205481115786,114,1.66288627199533397649,10.701315789473684
12,Battery Park,Manhattan,1,weekend_or_holiday,12,8.732624857630226,8.446640249557372,951,1.66922831193917439061,12.135699263932702
12,Battery Park,Manhattan,1,weekend_or_holiday,20,9.626734751244905,9.248781142821974,87,1.71501165253559397183,11.295785440613027
13,Battery Park City,Manhattan,1,weekday,0,12.667739421526877,12.391887474793254,5250,1.81039042311024723924,8.845939682539683
13,Battery Park City,Manhattan,1,weekday,6,8.97998151340685,8.452759870188483,20107,1.71147088345536937638,12.42011405646458
13,Battery Park City,Manhattan,1,weekday,12,9.082946285028854,8.70707556088626,37456,1.80955884558360178276,12.993011355546063
13,Battery Park City,Manhattan,1,weekday,20,10.755187554715986,10.45037204781393,13977,1.86763317671322773855,11.020103264887553
13,Battery Park City,Manhattan,1,weekend_or_holiday,0,11.336163623623852,10.97816063115837,1468,1.80076166768191743695,10.110921889191644
13,Battery Park City,Manhattan,1,weekend_or_holiday,6,10.40824100869765,9.966102937237435,6229,1.76205860181930135106,10.731578102424146
13,Battery Park City,Manhattan,1,weekend_or_holiday,12,9.428731107270576,9.10087489935049,17546,1.80037082755100220288,12.2729843459098
13,Battery Park City,Manhattan,1,weekend_or_holiday,20,10.451579234279597,10.06009526959851,5341,1.80265227172794152038,10.984806216064408
14,Bay Ridge,Brooklyn,3,weekday,0,17.057872662898387,16.065719016795338,6621,1.8104998753258113,7.249433620299048
