boroct2010,variable_num,label,estimate
2000100,2,HHI <10k,0
2000100,3,HHI 10-15k,0
2000100,4,HHI 15-20k,0
2000100,5,HHI 20-25k,0
2000100,6,HHI 25-30k,0
2000100,7,HHI 30-35k,0
2000100,8,HHI 35-40k,0
2000100,9,HHI 40-45k,0
2000100,10,HHI 45-50k,0
2000100,11,HHI 50-60k,0
2000100,12,HHI 60-75k,0
2000100,13,HHI 75-100k,0
2000100,14,HHI 100-125k,0
2000100,15,HHI 125-150k,0
2000100,16,HHI 150-200k,0
2000100,17,HHI 200k+,0
2000200,2,HHI <10k,85
2000200,3,HHI 10-15k,31
2000200,4,HHI 15-20k,70
2000200,5,HHI 20-25k,103
2000200,6,HHI 25-30k,95
2000200,7,HHI 30-35k,87
2000200,8,HHI 35-40k,0
2000200,9,HHI 40-45k,178
2000200,10,HHI 45-50k,11
2000200,11,HHI 50-60k,78
2000200,12,HHI 60-75k,144
2000200,13,HHI 75-100k,126
2000200,14,HHI 100-125k,97
2000200,15,HHI 125-150k,101
2000200,16,HHI 150-200k,54
2000200,17,HHI 200k+,82
2000400,2,HHI <10k,153
2000400,3,HHI 10-15k,34
2000400,4,HHI 15-20k,100
2000400,5,HHI 20-25k,51
2000400,6,HHI 25-30k,0
2000400,7,HHI 30-35k,49
2000400,8,HHI 35-40k,28
2000400,9,HHI 40-45k,115
2000400,10,HHI 45-50k,15
2000400,11,HHI 50-60k,139
2000400,12,HHI 60-75k,292
2000400,13,HHI 75-100k,359
2000400,14,HHI 100-125k,123
2000400,15,HHI 125-150k,177
2000400,16,HHI 150-200k,268
2000400,17,HHI 200k+,139
2001600,2,HHI <10k,187
2001600,3,HHI 10-15k,320
2001600,4,HHI 15-20k,115
2001600,5,HHI 20-25k,85
2001600,6,HHI 25-30k,107
2001600,7,HHI 30-35k,227
2001600,8,HHI 35-40k,101
2001600,9,HHI 40-45k,97
2001600,10,HHI 45-50k,132
2001600,11,HHI 50-60k,140
2001600,12,HHI 60-75k,141
2001600,13,HHI 75-100k,136
2001600,14,HHI 100-125k,104
2001600,15,HHI 125-150k,22
2001600,16,HHI 150-200k,37
2001600,17,HHI 200k+,20
2001900,2,HHI <10k,149
2001900,3,HHI 10-15k,87
2001900,4,HHI 15-20k,31
2001900,5,HHI 20-25k,30
2001900,6,HHI 25-30k,55
2001900,7,HHI 30-35k,53
2001900,8,HHI 35-40k,80
2001900,9,HHI 40-45k,53
2001900,10,HHI 45-50k,53
2001900,11,HHI 50-60k,70
2001900,12,HHI 60-75k,102
2001900,13,HHI 75-100k,149
2001900,14,HHI 100-125k,56
2001900,15,HHI 125-150k,66
2001900,16,HHI 150-200k,12
2001900,17,HHI 200k+,33
2002000,2,HHI <10k,1024
2002000,3,HHI 10-15k,376
2002000,4,HHI 15-20k,189
2002000,5,HHI 20-25k,280
2002000,6,HHI 25-30k,111
2002000,7,HHI 30-35k,104
2002000,8,HHI 35-40k,146
2002000,9,HHI 40-45k,17
2002000,10,HHI 45-50k,81
2002000,11,HHI 50-60k,209
2002000,12,HHI 60-75k,181
2002000,13,HHI 75-100k,305
2002000,14,HHI 100-125k,166
2002000,15,HHI 125-150k,10
2002000,16,HHI 150-200k,38
2002000,17,HHI 200k+,32
2002300,2,HHI <10k,448
2002300,3,HHI 10-15k,366
2002300,4,HHI 15-20k,196
2002300,5,HHI 20-25k,126
2002300,6,HHI 25-30k,87
2002300,7,HHI 30-35k,161
2002300,8,HHI 35-40k,80
2002300,9,HHI 40-45k,107
2002300,10,HHI 45-50k,40
2002300,11,HHI 50-60k,160
2002300,12,HHI 60-75k,23
2002300,13,HHI 75-100k,52
2002300,14,HHI 100-125k,22
2002300,15,HHI 125-150k,5
2002300,16,HHI 150-200k,41
2002300,17,HHI 200k+,0
2002400,2,HHI <10k,0
2002400,3,HHI 10-15k,0
2002400,4,HHI 15-20k,0
2002400,5,HHI 20-25k,0
2002400,6,HHI 25-30k,0
2002400,7,HHI 30-35k,0
2002400,8,HHI 35-40k,0
2002400,9,HHI 40-45k,0
2002400,10,HHI 45-50k,0
2002400,11,HHI 50-60k,0
2002400,12,HHI 60-75k,0
2002400,13,HHI 75-100k,0
2002400,14,HHI 100-125k,0
2002400,15,HHI 125-150k,0
2002400,16,HHI 150-200k,0
2002400,17,HHI 200k+,38
2002500,2,HHI <10k,508
2002500,3,HHI 10-15k,290
2002500,4,HHI 15-20k,139
2002500,5,HHI 20-25k,99
2002500,6,HHI 25-30k,71
2002500,7,HHI 30-35k,134
2002500,8,HHI 35-40k,86
2002500,9,HHI 40-45k,59
2002500,10,HHI 45-50k,77
2002500,11,HHI 50-60k,128
